i;Weights;BCW;CCW
0;2625.0;0.08923076923076921;0.005900122487894327
1;2308.0;0.10450142450142452;0.005809940918713356
2;1336.0;0.08353276353276354;0.007829527105768607
3;2560.0;0.07327635327635328;0.005550904859523287
4;3145.0;0.07361823361823362;0.0035093173777167503
5;6780.0;0.10324786324786325;0.014286778485219998
6;2399.0;0.10860398860398862;0.00933700832987609
7;9529.0;0.09481481481481481;0.005245336824023623
8;2578.0;0.14529914529914528;0.007687826211438201
9;2950.0;0.08763532763532764;0.005780145736705556
10;3076.0;0.07874643874643875;0.004316047693457907
11;7241.0;0.10188034188034188;0.018898930481351314
12;2726.0;0.07954415954415955;0.004430656993035877
13;1510.0;0.11931623931623932;0.007225802487320192
14;2002.0;0.10131054131054132;0.012929199354607497
15;8647.0;0.09196581196581197;0.00415154392534719
16;2723.0;0.08603988603988605;0.006384478441308262
17;8982.0;0.13196581196581197;0.007680462199633264
18;2794.0;0.08672364672364673;0.005716502479503663
19;10247.0;0.12056980056980057;0.012923785675884984
20;3190.0;0.12091168091168092;0.005377665013234566
21;2714.0;0.08467236467236468;0.006305111063959425
22;2240.0;0.10905982905982906;0.010176560399662984
23;2467.0;0.11863247863247864;0.008324892194346064
24;8892.0;0.10518518518518517;0.01981520550605494
25;2739.0;0.06826210826210827;0.0051833712670413925
26;2723.0;0.07304843304843306;0.005566825719678086
27;2614.0;0.07122507122507123;0.005987857124669986
28;2603.0;0.10450142450142451;0.007049402498346739
29;2829.0;0.11521367521367522;0.006307356883284848
30;1221.0;0.07396011396011395;0.00880718487022343
31;3385.0;0.0956125356125356;0.004680267724973975
32;11107.0;0.11703703703703704;0.008162260658613365
33;2624.0;0.13891737891737893;0.005000506138671757
34;963.0;0.09834757834757833;0.01137486067434204
35;2735.0;0.0807977207977208;0.005018627530802065
36;2221.0;0.10860398860398858;0.013136022993408514
37;2762.0;0.12079772079772079;0.009632568747315627
38;1164.0;0.07863247863247863;0.006465237152971491
39;1152.0;0.06985754985754986;0.009004640972976
40;2666.0;0.08854700854700853;0.0064047059454235816
41;2515.0;0.1313960113960114;0.006642999446288723
42;2492.0;0.11521367521367522;0.008025828029532058
43;2854.0;0.1354985754985755;0.005518812849773364
44;693.0;0.07031339031339032;0.011909181590229674
45;2646.0;0.08866096866096866;0.0059070719414626065
46;3150.0;0.08923076923076921;0.004613873268807852
47;2729.0;0.08284900284900285;0.0067276852557085695
48;2722.0;0.07236467236467237;0.005264919255995947
49;2538.0;0.09880341880341881;0.005801190297758791
50;774.0;0.06917378917378918;0.012925539523446864
51;2330.0;0.08535612535612537;0.005830116944368504
52;2601.0;0.13276353276353278;0.007430424550599617
53;2399.0;0.13162393162393163;0.00800216533258235
54;2878.0;0.10028490028490028;0.004994069775924702
55;8095.0;0.09424501424501425;0.006741677343374696
56;944.0;0.08638176638176638;0.023979598219564538
57;2514.0;0.09424501424501425;0.005587671967887327
58;4071.0;0.07555555555555556;0.00420111560285578
59;9930.0;0.11475783475783476;0.007963231508213308
60;8360.0;0.10165242165242165;0.0056640192220395675
61;2625.0;0.08467236467236468;0.006258524277803852
62;9950.0;0.1266096866096866;0.006483093719394227
63;11010.0;0.15145299145299146;0.008459246751476383
64;1120.0;0.083988603988604;0.0067260536160838455
65;2766.0;0.09196581196581197;0.006147057968548082
66;2314.0;0.11236467236467237;0.013041101311870876
67;8636.0;0.10837606837606838;0.05990301547709567
68;3003.0;0.06894586894586895;0.0046953477541245995
69;2510.0;0.08672364672364673;0.006262647047269839
70;8161.0;0.10792022792022793;0.007127241536921728
71;2319.0;0.11498575498575499;0.01026154821187156
72;2350.0;0.08444444444444443;0.0065143518971424175
73;2514.0;0.09310541310541309;0.006569382823634113
74;859.0;0.0735042735042735;0.010708658620430658
75;2630.0;0.09492877492877493;0.010003271775970764
76;2368.0;0.10997150997150998;0.005929917815466112
77;9553.0;0.14746438746438748;0.005333330881838165
78;2745.0;0.07874643874643875;0.006001998700016388
79;5874.0;0.10415954415954415;0.012226089940957563
80;8496.0;0.1101994301994302;0.02269005346084847
81;2623.0;0.09698005698005698;0.0053596422598994825
82;2645.0;0.076011396011396;0.006198801168876033
