i;Weights;BCW;CCW
0;712.5;0.08421652421652422;0.00964738418918541
0;809.5;0.06962962962962962;0.00817326023783922
0;316.0;0.04410256410256409;0.10537066769055585
0;777.5;0.08843304843304844;0.029040901466198827
0;559.0;0.07692307692307693;0.0731706022674486
0;1109.0;0.08011396011396012;0.007816116184265018
0;605.5;0.08911680911680912;0.008372702299579862
0;1082.5;0.09002849002849003;0.008242274129851557
0;1575.5;0.10495726495726497;0.006002800225652189
0;1332.0;0.08136752136752137;0.007815949100312162
1;868.5;0.06962962962962964;0.0733863955330161
1;944.5;0.047977207977207975;0.01889762772649599
1;844.5;0.05128205128205129;0.01689188481642307
1;748.0;0.07407407407407408;0.022697396606186963
1;1086.0;0.12136752136752137;0.017909039615899746
1;1533.0;0.10074074074074073;0.005231982596926659
1;937.5;0.0866096866096866;0.0034990173653140465
1;399.0;0.05766381766381765;0.11012636699384369
1;787.0;0.07544159544159544;0.006151599024721189
1;516.0;0.08387464387464388;0.3340573526369694
2;969.0;0.12535612535612536;0.011086763420516654
2;378.0;0.05914529914529915;0.4266014072301099
2;533.5;0.04911680911680912;0.021527488880378795
2;897.5;0.08729344729344729;0.007945769621210757
2;1823.5;0.13344729344729347;0.00317983579730767
2;899.0;0.10427350427350426;0.02734423434869635
2;845.5;0.07874643874643876;0.02760993671189873
2;976.5;0.08444444444444445;0.02185026351271933
2;1239.0;0.07612535612535615;0.005452903823934328
2;930.5;0.048547008547008545;0.014884232790637709
3;781.5;0.05321937321937322;0.009546772573774884
3;957.5;0.08444444444444443;0.03645023014787725
3;497.0;0.07168091168091167;0.3796311730829682
3;1130.5;0.1052991452991453;0.0037294270349436036
3;1132.5;0.08421652421652422;0.004071472610719426
3;1118.0;0.12444444444444444;0.005782766688950425
3;1126.5;0.09128205128205129;0.022950198757631227
3;812.5;0.08102564102564103;0.16221393382931915
3;986.5;0.11019943019943021;0.006839738674576053
3;1061.5;0.07908831908831908;0.011206938853924523
4;530.0;0.10256410256410257;0.29975291954717703
4;1048.5;0.10324786324786325;0.0042995662801816196
4;728.0;0.08125356125356126;0.00675394260091725
4;1452.5;0.08444444444444445;0.006835541847133671
4;524.0;0.07111111111111111;0.38137295046700503
4;659.0;0.07817663817663817;0.03945302621382013
4;584.5;0.06575498575498576;0.011287402261708724
4;893.0;0.06951566951566954;0.009945084701252872
4;646.0;0.06746438746438746;0.04692313941211435
4;714.0;0.06039886039886039;0.022820199695465986
5;671.5;0.0662108262108262;0.019684827067381165
5;1015.0;0.12125356125356125;0.007949318855913436
5;579.0;0.06723646723646724;0.006739626628825724
5;960.0;0.06905982905982906;0.006927705294925979
5;1171.5;0.06883190883190883;0.006782161158884144
5;688.5;0.0825071225071225;0.043186778202768575
5;575.0;0.06860398860398861;0.017510769251458138
5;994.5;0.07270655270655271;0.013131673313943269
5;1403.5;0.10450142450142452;0.005775345293220234
5;1109.5;0.0750997150997151;0.0073212786433247135
6;1356.5;0.11076923076923079;0.004232955356256916
6;998.5;0.08603988603988603;0.013155557667354453
6;1469.5;0.11396011396011398;0.00695679649997587
6;759.5;0.08683760683760683;0.011197855003443368
6;574.0;0.038746438746438745;0.053274236613993296
6;1106.0;0.07931623931623931;0.0060368875052606115
6;678.5;0.08034188034188035;0.35755836314913264
6;1036.0;0.08638176638176638;0.005555131111251005
6;896.0;0.051737891737891735;0.0339733549553394
6;1261.0;0.08068376068376068;0.004417397107543869
7;907.0;0.08524216524216525;0.008380313715418211
7;738.0;0.07977207977207977;0.013042835965094427
7;950.0;0.07931623931623931;0.010930173736529528
7;949.5;0.052877492877492875;0.013852554159916717
7;1150.5;0.11327635327635327;0.010602779886992833
7;961.0;0.08102564102564101;0.005436203331308903
7;695.5;0.056068376068376065;0.01081690638697037
7;773.5;0.06438746438746439;0.013719934767678908
7;650.5;0.054245014245014246;0.009253832507718416
7;615.0;0.07327635327635328;0.07322003593207088
8;488.0;0.08353276353276354;0.09529942018935054
8;1679.5;0.1598860398860399;0.002994059077840678
8;682.5;0.07156695156695156;0.01031727055727574
8;956.5;0.0841025641025641;0.023397244482989424
8;477.0;0.06176638176638177;0.03103117885554663
8;628.5;0.10142450142450142;0.011857275393545032
8;572.0;0.07304843304843305;0.01355438992444339
8;511.5;0.044330484330484324;0.02158286471206225
8;1228.5;0.0904843304843305;0.024897471637953972
8;814.5;0.09162393162393163;0.043942797508494974
9;1251.5;0.08148148148148149;0.005011038270299631
9;776.5;0.06928774928774929;0.012535694464772148
9;915.5;0.10940170940170939;0.016324106161883886
9;592.0;0.06826210826210827;0.38430779556082684
9;1060.5;0.0978917378917379;0.00482227494525337
9;471.0;0.070997150997151;0.09817765389833844
9;600.0;0.08273504273504273;0.34188190453148004
9;907.0;0.05846153846153846;0.008691833220239684
9;1091.0;0.06245014245014244;0.007718847355544288
9;969.5;0.09857549857549858;0.015811906798655045
10;564.0;0.08216524216524217;0.01900998651006812
10;924.0;0.0904843304843305;0.014006262756909907
10;1179.5;0.09264957264957265;0.007040653617308141
10;742.0;0.05014245014245015;0.011619864588434312
10;740.0;0.053561253561253554;0.020037426806966383
10;789.5;0.0660968660968661;0.010623400677757164
10;1196.0;0.0637037037037037;0.008808558448106968
10;1047.5;0.06814814814814817;0.012204646553441546
10;1631.0;0.09754985754985755;0.003199046435551781
10;1027.5;0.08809116809116808;0.007043151714545843
11;786.5;0.05344729344729345;0.01288291556730288
11;1287.5;0.10974358974358972;0.0070583219490861085
11;1097.0;0.0898005698005698;0.00988965690124681
11;633.5;0.09299145299145299;0.32524005204233625
11;905.5;0.07521367521367521;0.10604880453721666
11;844.0;0.06940170940170941;0.011249381403980789
11;935.0;0.06586894586894587;0.007894229091327988
11;643.0;0.052421652421652414;0.11163954190455655
11;1363.0;0.09150997150997149;0.003169159521597068
11;585.0;0.06028490028490028;0.044556956681900024
12;1190.5;0.0766951566951567;0.006892844762618442
12;1228.5;0.10415954415954415;0.0030869025960250786
12;1188.0;0.09116809116809117;0.011195819449891332
12;1098.5;0.09629629629629628;0.008616401290122904
12;778.5;0.06461538461538462;0.005345234606649927
12;461.5;0.092991452991453;0.01928112717780444
12;773.0;0.08045584045584045;0.005261415444866465
12;760.0;0.06609686609686609;0.020259185288404993
12;1097.0;0.09173789173789174;0.011489628143557425
12;1666.5;0.13732193732193732;0.004815264532630126
13;764.5;0.09173789173789174;0.009391671569454061
13;985.5;0.08102564102564103;0.01014896374306512
13;643.5;0.08319088319088319;0.009247690702099286
13;768.5;0.0678062678062678;0.011073796504252362
13;772.5;0.06632478632478633;0.013020011834507872
13;1074.0;0.09356125356125355;0.005186532956619645
13;670.5;0.09048433048433048;0.00803640190350122
13;1088.0;0.06484330484330483;0.01271719026776703
13;1163.0;0.08900284900284904;0.003947224021655758
13;484.5;0.08319088319088319;0.03459861896871811
14;1082.5;0.07532763532763533;0.00531481846218847
14;891.5;0.09868945868945869;0.0036059895252820336
14;1053.5;0.07794871794871794;0.008054009141989492
14;1087.5;0.08091168091168092;0.008986181616214893
14;1051.0;0.07293447293447293;0.0049095510341678255
14;1106.0;0.11886039886039887;0.004291005487701078
14;1000.5;0.07475783475783475;0.005564392586670537
14;1227.5;0.08558404558404557;0.009550782577654958
14;1038.5;0.07772079772079774;0.01136859000843549
14;826.0;0.061994301994302;0.007657357960046051
15;939.0;0.08752136752136751;0.009195290456423796
15;306.0;0.06951566951566951;0.386062043509268
15;1240.0;0.12205128205128205;0.0066586024411956395
15;819.0;0.10267806267806269;0.3002906104640302
15;1061.0;0.11851851851851851;0.006439222389963055
15;739.5;0.07316239316239316;0.3765795420162316
15;1081.0;0.10860398860398861;0.019425448600926293
15;1446.0;0.11783475783475784;0.0034904550031535373
15;798.5;0.06974358974358974;0.009687873590632825
15;799.5;0.05287749287749288;0.013976448390728338
16;1063.0;0.10256410256410256;0.0068463600847385245
16;472.0;0.048319088319088314;0.02506969524900375
16;1306.5;0.08706552706552707;0.00386322051771913
16;676.0;0.07692307692307693;0.03040374110159993
16;648.5;0.08353276353276352;0.011831450606525264
16;878.5;0.05356125356125357;0.013230414841696181
16;772.5;0.10233618233618234;0.009217981664137793
16;934.0;0.05584045584045585;0.010623451406230831
16;1209.0;0.11886039886039886;0.005360178042806114
16;603.0;0.09891737891737892;0.31347285202037234
17;836.5;0.045014245014245016;0.015565955849347467
17;698.5;0.07943019943019942;0.009885386327594907
17;729.5;0.051737891737891735;0.017578139745139717
17;1154.5;0.11794871794871796;0.005022484643249664
17;1011.0;0.09606837606837607;0.019122111614388926
17;1239.0;0.08467236467236466;0.00537924331567455
17;1027.5;0.09800569800569801;0.005099933734267003
17;566.5;0.08068376068376068;0.01603381777022086
17;927.5;0.08512820512820513;0.00808836590348301
17;534.5;0.07897435897435898;0.361910325963741
18;411.0;0.044216524216524215;0.03142352250293721
18;1241.5;0.08296296296296296;0.005448929014383265
18;309.0;0.054245014245014246;0.4430097654810016
18;1199.0;0.08364672364672367;0.006108669049582409
18;434.0;0.07361823361823364;0.37027242494218277
18;806.5;0.07487179487179488;0.011262631317478441
18;765.0;0.11031339031339031;0.006458216107740771
18;905.5;0.09310541310541313;0.017359674669211674
18;757.0;0.08649572649572651;0.3382547971203155
18;794.5;0.08034188034188033;0.01422107457164121
19;1142.5;0.06792022792022792;0.005118894015302478
19;1138.5;0.09196581196581198;0.007736002818556725
19;908.0;0.07316239316239316;0.03140424923769181
19;365.0;0.059487179487179485;0.4145504426202141
19;819.5;0.09105413105413104;0.013866591362871886
19;820.5;0.12695156695156695;0.009559872781210246
19;356.0;0.0694017094017094;0.4006026631681735
19;573.0;0.06381766381766382;0.024176014770902567
19;626.5;0.06871794871794872;0.012545343646150871
19;722.5;0.05629629629629629;0.014972190219687225
20;1109.0;0.09515669515669514;0.06733251503677705
20;1081.5;0.12341880341880342;0.00504223197289184
20;609.0;0.048660968660968654;0.05585757579201348
20;682.0;0.09663817663817663;0.04955304012718261
20;1153.0;0.09675213675213674;0.004956879241325867
20;511.0;0.0766951566951567;0.09807262917023483
20;1309.0;0.09777777777777777;0.0068638299205929
20;428.0;0.056524216524216526;0.041069988343591164
20;1093.0;0.09572649572649573;0.004705174230656217
20;931.0;0.09173789173789172;0.014742815224909424
21;1052.5;0.0743019943019943;0.008464993393554363
21;512.5;0.0815954415954416;0.018053492551582655
21;175.0;0.05561253561253561;0.43330302222366546
21;1341.0;0.07646723646723647;0.008479143847167248
21;1379.0;0.11122507122507122;0.007373971185028817
21;845.5;0.10188034188034188;0.03025617326437866
21;630.0;0.062222222222222213;0.047495905094516115
21;650.0;0.05880341880341881;0.1669468333996946
21;327.0;0.06849002849002848;0.39585831460535176
21;1031.0;0.0782905982905983;0.006487600138209212
22;824.5;0.07304843304843305;0.005406756086506665
22;630.0;0.060170940170940164;0.007772717515405291
22;888.5;0.14165242165242167;0.036304956659485535
22;966.0;0.07190883190883192;0.02490788864442039
22;805.0;0.06757834757834759;0.006543919563478978
22;761.0;0.0741880341880342;0.014129282198778285
22;1147.0;0.08216524216524217;0.005567105151904285
22;1213.5;0.0858119658119658;0.0074956049188564765
22;1272.0;0.1483760683760684;0.004279994236351347
22;1223.5;0.09857549857549859;0.0033140280615938126
23;457.5;0.08045584045584046;0.3578233042563487
23;1096.0;0.07715099715099714;0.006569896865503327
23;1488.5;0.1010826210826211;0.005974469133258319
23;1962.5;0.10507122507122506;0.004017343602444356
23;1157.5;0.09333333333333334;0.0047844621468862425
23;1079.5;0.07396011396011397;0.011580631564271568
23;842.5;0.07396011396011397;0.10732792227795554
23;307.0;0.056752136752136736;0.4346518584240623
23;1220.0;0.058803418803418786;0.007276951778652197
23;731.5;0.08763532763532764;0.012955668000022943
24;533.0;0.054814814814814816;0.07571070690920728
24;1490.5;0.13207977207977206;0.0030562659921206606
24;846.5;0.0871794871794872;0.012473256033849677
24;1061.0;0.08717948717948719;0.007117268719239924
24;921.5;0.0750997150997151;0.00763085803992742
24;897.0;0.06199430199430198;0.009350462200536772
24;967.5;0.08159544159544158;0.007401179689775588
24;1551.5;0.09686609686609687;0.006796171195045497
24;1180.0;0.07247863247863248;0.004890191541167742
24;921.5;0.05743589743589744;0.009438916981436587
25;705.0;0.05538461538461538;0.02283021427979595
25;903.5;0.09903133903133902;0.04504023162204872
25;743.5;0.11498575498575499;0.2690195507779256
25;696.0;0.09230769230769231;0.01985760249141594
25;906.5;0.07715099715099717;0.01122884586159972
25;878.0;0.04888888888888889;0.032931147191606495
25;919.0;0.13310541310541313;0.23790150650474018
25;777.0;0.07213675213675214;0.03826476651571686
25;580.5;0.054245014245014246;0.009546753776333513
25;668.0;0.06472934472934472;0.041761990059029724
26;541.5;0.06962962962962964;0.02551306680192187
26;638.5;0.07122507122507123;0.016768571515866842
26;1332.5;0.06700854700854701;0.005181479920798831
26;864.0;0.11874643874643874;0.011109678752247292
26;1694.0;0.11555555555555554;0.0032633998628700304
26;1140.5;0.1468945868945869;0.005025736444500732
26;1248.5;0.10427350427350428;0.004633587235612212
26;1275.0;0.07122507122507121;0.005981579820785721
26;970.5;0.07578347578347577;0.005271898857201387
26;1256.5;0.09435897435897438;0.004470133750242212
27;556.0;0.05982905982905984;0.03526549278292377
27;1568.0;0.09652421652421651;0.003495230246980801
27;1182.0;0.08353276353276354;0.0073766562580632345
27;851.0;0.08831908831908832;0.005982320733710616
27;1409.0;0.06507122507122508;0.0061449199151579655
27;687.5;0.062336182336182336;0.020370494553868426
27;560.0;0.05868945868945869;0.4212231021932762
27;1072.0;0.10564102564102568;0.006179046821762306
27;460.0;0.04056980056980057;0.04947663088777995
27;755.0;0.06564102564102564;0.022488511629033384
28;448.0;0.0570940170940171;0.44023397219885146
28;1034.0;0.08638176638176638;0.008440645787644006
28;1647.0;0.14586894586894586;0.002184784384313659
28;846.5;0.08113960113960114;0.003940626939479148
28;1834.5;0.13002849002849;0.0017632271444389257
28;1030.0;0.08854700854700853;0.01346941202490211
28;332.0;0.04672364672364673;0.4739759759926225
28;569.5;0.0735042735042735;0.012537106865280053
28;809.0;0.0807977207977208;0.006348683807198429
28;654.0;0.06883190883190883;0.029773059056465392
29;839.0;0.10131054131054132;0.06920409826383599
29;1003.0;0.10005698005698005;0.005945764625577492
29;478.0;0.06415954415954415;0.046016435997902914
29;613.0;0.08603988603988603;0.07153101024389737
29;1051.0;0.0913960113960114;0.006567973549433111
29;444.0;0.05811965811965812;0.4225110176007461
29;622.5;0.05356125356125356;0.014004273659456454
29;1407.0;0.08831908831908833;0.0054859246879345085
29;659.5;0.08136752136752136;0.014265860053430477
29;748.0;0.07441595441595442;0.022031764522697356
30;1446.0;0.11566951566951567;0.005177777633533899
30;1182.0;0.08820512820512821;0.003987048496530732
30;1043.0;0.09584045584045586;0.009581766835683765
30;1086.0;0.09424501424501425;0.00679530174317366
30;1040.5;0.10518518518518517;0.013056464211318106
30;1169.0;0.08193732193732194;0.01119895231556591
30;903.0;0.07772079772079772;0.005687349860183709
30;926.0;0.08125356125356126;0.0063818713399478606
30;934.5;0.061538461538461535;0.012380347175734692
30;846.0;0.05754985754985756;0.07542326020727229
31;621.5;0.07225071225071225;0.009268418780420904
31;919.5;0.10552706552706555;0.00977763030077841
31;876.5;0.07544159544159543;0.01123176494158896
31;563.0;0.07373219373219372;0.3649020277483768
31;1062.5;0.08250712250712251;0.009404717755902832
31;915.5;0.07772079772079772;0.009412580815369812
31;699.5;0.07373219373219372;0.012285265812955977
31;775.0;0.08159544159544158;0.021026284557037964
31;624.0;0.08216524216524218;0.3404413832443848
31;748.0;0.08501424501424501;0.011521253533123195
32;1125.0;0.08945868945868947;0.0057593634370210955
32;783.0;0.06575498575498576;0.019337406812645525
32;1233.0;0.10598290598290598;0.004476469617125915
32;724.0;0.06621082621082622;0.023080888965994945
32;1084.5;0.07270655270655271;0.005414200726989789
32;1189.5;0.09196581196581197;0.009873326230376256
32;1266.0;0.10165242165242165;0.004656844922382398
32;347.0;0.06655270655270656;0.1729704670271916
32;879.0;0.05754985754985755;0.02061008971279516
32;1167.5;0.11430199430199431;0.014253822274131123
33;646.5;0.10951566951566952;0.027184058686634177
33;1726.5;0.12809116809116808;0.001974561945485712
33;1109.5;0.11441595441595441;0.0031824704055988
33;721.0;0.07282051282051281;0.025577346834639265
33;944.0;0.07396011396011397;0.007352114307001373
33;1052.5;0.06415954415954415;0.011628845219455484
33;1068.0;0.10678062678062676;0.010530770831093429
33;584.0;0.07316239316239316;0.02291411429767627
33;682.5;0.06917378917378918;0.014312201943514583
33;420.0;0.09310541310541309;0.15491421576974773
34;1000.5;0.09105413105413106;0.009633882631701663
34;550.5;0.06096866096866097;0.02037826500753284
34;941.0;0.07977207977207978;0.007279743458116222
34;1084.5;0.07566951566951569;0.0042930750403353014
34;1097.0;0.09025641025641026;0.010892116451849957
34;885.0;0.08341880341880341;0.005392589887014199
34;943.5;0.07145299145299146;0.00531751541155233
34;1557.0;0.10814814814814813;0.004054768629255344
34;870.5;0.07772079772079774;0.01123309135444981
34;859.5;0.10712250712250712;0.01616041609502225
35;1420.5;0.11589743589743591;0.0025888720936118196
35;1143.5;0.09048433048433048;0.004070213933327843
35;1182.0;0.07760683760683759;0.006795577030234067
35;816.5;0.07977207977207977;0.016475775074140445
35;803.5;0.09595441595441595;0.009479760260416078
35;836.0;0.05572649572649572;0.011608414824842468
35;810.5;0.0588034188034188;0.010577199662756194
35;655.5;0.0743019943019943;0.009671657777475548
35;1065.5;0.11202279202279203;0.013447985742680602
35;1275.5;0.08125356125356126;0.005719093431764981
36;1088.5;0.0498005698005698;0.011313892654867078
36;1157.0;0.09162393162393159;0.015700312155417173
36;994.0;0.08603988603988603;0.007130260087257334
36;546.0;0.08638176638176638;0.22809601520066403
36;894.0;0.05732193732193733;0.02276078258219685
36;278.0;0.05014245014245015;0.4679987947075027
36;721.5;0.05595441595441595;0.01885140747669452
36;732.5;0.09811965811965812;0.011169555301203745
36;976.0;0.11282051282051281;0.004892228015787884
36;842.0;0.08649572649572651;0.00979962507023948
37;546.5;0.05321937321937322;0.01641303100058426
37;1273.0;0.08672364672364673;0.0061107853019436095
37;560.5;0.0507122507122507;0.014398855767556085
37;894.0;0.0888888888888889;0.00944539654563948
37;890.5;0.11509971509971509;0.02128204540004038
37;847.5;0.09002849002849002;0.008146028811157335
37;786.0;0.083988603988604;0.008188407176810346
37;1171.0;0.10723646723646724;0.02426577370358571
37;571.5;0.0776068376068376;0.023964833047800418
37;584.0;0.07054131054131053;0.38330215827942216
38;645.0;0.08353276353276354;0.07510192919714796
38;1117.5;0.08227920227920228;0.014891665004783151
38;1133.0;0.07054131054131053;0.013135688443394763
38;928.0;0.05356125356125357;0.02019378542746543
38;1519.0;0.09971509971509972;0.007730403008259418
38;999.5;0.08079772079772081;0.011316100316626514
38;1187.0;0.1021082621082621;0.005224673177572354
38;1121.0;0.08353276353276354;0.00650844770289937
38;1552.0;0.11361823361823362;0.0046596878724219784
38;931.5;0.05686609686609686;0.00941783840763791
39;766.0;0.07156695156695157;0.009334883301446597
39;878.0;0.076011396011396;0.007214402866071403
39;928.0;0.09584045584045585;0.00500109685060073
39;504.0;0.06131054131054131;0.031048699282840788
39;1345.5;0.09572649572649573;0.008403794920642027
39;611.0;0.06940170940170941;0.02775995476933559
39;793.5;0.05071225071225071;0.02187929481840154
39;717.5;0.08433048433048435;0.018205900649475644
39;1236.5;0.11612535612535611;0.005565694929462247
39;611.5;0.06461538461538463;0.013384708006189083
40;1109.5;0.10803418803418806;0.005960802278597078
40;1131.5;0.08387464387464387;0.007789723201903576
40;716.0;0.06324786324786326;0.029574929056354657
40;1141.0;0.1214814814814815;0.004730950722831874
40;838.0;0.061424501424501426;0.014212943764120141
40;1324.5;0.0856980056980057;0.009504114494693357
40;1318.0;0.10985754985754985;0.006518085760152582
40;714.5;0.06472934472934473;0.010671315228916825
40;605.0;0.07270655270655271;0.023179611414640377
40;749.0;0.08649572649572651;0.011209593509769992
41;947.5;0.09914529914529915;0.006178838261337859
41;664.5;0.07327635327635329;0.019621563549976247
41;732.5;0.06233618233618233;0.011898694820657505
41;774.0;0.08296296296296297;0.036903647539170026
41;509.5;0.052877492877492875;0.02081939380740469
41;960.0;0.07623931623931623;0.004877426501131573
41;848.5;0.08524216524216525;0.007673655383760097
41;1116.5;0.08706552706552707;0.004972138886096949
41;1576.0;0.11464387464387463;0.0029810005263846647
41;1307.0;0.11145299145299147;0.006000281048889473
42;840.0;0.07601139601139602;0.006731261902323147
42;739.0;0.07589743589743589;0.005406576294499235
42;713.0;0.06552706552706554;0.0077398629098777705
42;1283.5;0.09059829059829057;0.005050474263500904
42;539.0;0.05105413105413105;0.03596556333682971
42;1084.5;0.08501424501424502;0.012350237084629179
42;635.5;0.09754985754985755;0.03415262543423281
42;1006.5;0.08022792022792023;0.008309483272648455
42;508.5;0.07840455840455841;0.025513540257077003
42;1330.0;0.0939031339031339;0.004950187268013184
43;721.0;0.052535612535612536;0.01161618536756068
43;1018.0;0.09675213675213676;0.005976741362562005
43;1104.0;0.08193732193732194;0.0063183817032532764
43;433.0;0.05413105413105414;0.4425931729360573
43;961.0;0.09116809116809117;0.007214487671909849
43;1089.5;0.07749287749287748;0.011940894416447655
43;366.0;0.043304843304843306;0.07388481439052987
43;906.5;0.0776068376068376;0.16565723832906135
43;1096.0;0.09834757834757835;0.006254237059672062
43;305.0;0.08478632478632481;0.33703351614964566
44;614.5;0.05914529914529914;0.016860114623607366
44;1305.5;0.07578347578347579;0.006076027596935129
44;699.5;0.0523076923076923;0.014042095593078065
